Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.172,-82.042,0,top
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.096,-59.69,-90,top
D1,LED,LED_SFH4715AS,142.8602,-68.0428,-90,top
D2,LED,LED_SFH4715AS,157.3,-61.7,-90,top
D3,LED,LED_SFH4715AS,170.9,-66.8782,0,top
D4,LED,LED_SFH4715AS,176.4,-81.2782,0,top
D5,LED,LED_SFH4715AS,169.8782,-96.2,90,top
D6,LED,LED_SFH4715AS,155.7064,-101.7375,90,top
D7,LED,LED_SFH4715AS,142.24,-95.649,0,top
D8,LED,LED_SFH4715AS,136.144,-81.0782,0,top
D9,D_TVS,D3V3M1U2S9-7,157.6884,-62.1428,90,top
D10,D_TVS,D3V3M1U2S9-7,171.4572,-67.6884,0,top
D11,D_TVS,D3V3M1U2S9-7,175.7172,-83.2104,0,top
D12,D_TVS,D3V3M1U2S9-7,167.7572,-105.9116,180,top
D13,D_TVS,D3V3M1U2S9-7,149.9072,-96.8884,0,top
D14,D_TVS,D3V3M1U2S9-7,136.8428,-90.2884,0,top
D15,D_TVS,D3V3M1U2S9-7,133.5572,-92.0116,180,top
D17,D_TVS,D3V3M1U2S9-7,143.5884,-68.5428,90,top
Q2,MMBT3904,MMBT3904,117.414,-77.8,0,top
R1,5K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.46,-86.36,180,top
RV1,35WR5KLFTR,35WR5KLFTR,123.19,-82.78965,90,top
U1,Current Driver,3021_Buckpuck,118.745,-53.1625,0,top
U2,Camera Input,PinSocket_1x02_P2.54mm_Vertical_SMD_Pin1Left,124.206,-91.44,-90,top
U4,Barrel Jack,TENSILITY_54-00164,107.406,-92.29,-90,top
