Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0805,5,0.1uF,
D1,SOD-123FL,1,D,
D2,D_SMB,1,D,
INTR_TOF1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket2,
J1,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,XT30 Male Connector,
J107F1,J107,1,~,
"LED1, LED2, LED3, LED4",Neopixels 5050,4,Neopixel,
LP3470A1,SOT-23-5,1,~,
"MC1, MC2",DRV8876,2,DRV8876,
"MOTOR1, MOTOR2",ZH1.5-6,2,Conn_01x06_Pin,
R1,0805,1,4.7k,
R2,0805,1,500,
R3,0805,1,150k,
R4,0805,1,100k,
STEMMA_QT1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,TOF_STEMMA,
TP1,PinHeader_1x01_P2.54mm_Vertical,1,VSUP_VCC,
TP2,PinHeader_1x01_P2.54mm_Vertical,1,5V,
TP3,PinHeader_1x01_P2.54mm_Vertical,1,GND,
U2,PinHeader_1x05_P2.54mm_Vertical,1,D24V50F5,
U3,ProS3_TH (1),1,ProS3,
XSHUT_TOF1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
