Designator,Mid X,Mid Y,Rotation,Layer
C1,167.3,-66.2,270.0,top
C2,186.1,-68.1,270.0,top
C3,167.6,-72.75,270.0,top
C4,186.0,-73.1,270.0,top
C5,160.0,-140.25,0.0,top
D2,151.5,-131.0,180.0,top
INTR_TOF1,165.9,-83.26,180.0,top
J1,175.0,-139.0,180.0,top
LED1,172.62,-66.11,0.0,top
LED2,180.7413,-66.1,0.0,top
LED3,172.8,-73.0,0.0,top
LED4,180.6,-73.0,0.0,top
LP3470A1,153.6375,-139.3,180.0,top
MC1,124.26,-66.7175,0.0,top
MC2,178.8,-72.7075,0.0,top
MOTOR1,124.55,-93.275,270.0,top
MOTOR2,165.55,-117.775,0.0,top
Q1,159.8,-130.5,270.0,top
R1,164.8,-94.325,90.0,top
R2,165.05,-71.525,90.0,top
R3,164.75,-139.0,270.0,top
R4,164.75,-135.0,90.0,top
R5,159.75,-135.75,0.0,top
R6,150.0,-135.75,0.0,top
RELAY1,178.592076,-120.615,90.0,top
STEMMA_QT1,126.8,-64.7,180.0,top
TP1,144.25,-121.75,0.0,top
TP2,151.75,-121.75,0.0,top
TP3,159.25,-121.75,0.0,top
U2,144.0,-135.92,0.0,top
U3,151.69,-87.075,0.0,top
XSHUT_TOF1,137.8,-88.775,180.0,top
